date,tenor,yield
2021-03-31,3.0,6.182
2021-03-31,5.0,6.7442
2021-03-31,7.0,7.0315
2021-03-31,10.0,7.231
2021-03-31,15.0,7.376
2021-03-31,20.0,7.4499
2021-04-01,0.25,4.7451
2021-04-01,0.5,4.8445
2021-04-01,0.75,4.9809
2021-04-01,1.0,5.1354
2021-04-01,2.0,5.7494
2021-04-01,3.0,6.2229
2021-04-01,5.0,6.7985
2021-04-01,7.0,7.0846
2021-04-01,10.0,7.2715
2021-04-01,15.0,7.4016
2021-04-01,20.0,7.4693
2021-04-02,0.25,4.7986
2021-04-02,0.5,4.8838
2021-04-02,0.75,5.0082
2021-04-02,1.0,5.1533
2021-04-02,2.0,5.7463
2021-04-02,3.0,6.2095
2021-04-02,5.0,6.7886
2021-04-02,7.0,7.0802
2021-04-02,10.0,7.2657
2021-04-02,15.0,7.3943
2021-04-02,20.0,7.4644
2021-04-05,0.25,4.8277
2021-04-05,0.5,4.9003
2021-04-05,0.75,5.0108
2021-04-05,1.0,5.1425
2021-04-05,2.0,5.7064
2021-04-05,3.0,6.1781
2021-04-05,5.0,6.7819
2021-04-05,7.0,7.0836
2021-04-05,10.0,7.2704
2021-04-05,15.0,7.3994
2021-04-05,20.0,7.4716
2021-04-06,0.25,4.7803
2021-04-06,0.5,4.868
2021-04-06,0.75,4.9979
2021-04-06,1.0,5.1499
2021-04-06,2.0,5.7885
2021-04-06,3.0,6.3174
2021-04-06,5.0,6.9424
2021-04-06,7.0,7.2226
2021-04-06,10.0,7.3765
2021-04-06,15.0,7.4846
2021-04-06,20.0,7.5512
2021-04-07,0.25,4.7977
2021-04-07,0.5,4.9037
2021-04-07,0.75,5.051
2021-04-07,1.0,5.2161
2021-04-07,2.0,5.8676
2021-04-07,3.0,6.3756
2021-04-07,5.0,6.9709
2021-04-07,7.0,7.2511
2021-04-07,10.0,7.4261
2021-04-07,15.0,7.5511
2021-04-07,20.0,7.6229
2021-04-08,0.25,4.7907
2021-04-08,0.5,4.9103
2021-04-08,0.75,5.0717
2021-04-08,1.0,5.2467
2021-04-08,2.0,5.9081
2021-04-08,3.0,6.4072
2021-04-08,5.0,6.9966
2021-04-08,7.0,7.278
2021-04-08,10.0,7.4426
2021-04-08,15.0,7.5418
2021-04-08,20.0,7.5965
2021-04-09,0.25,4.7453
2021-04-09,0.5,4.9104
2021-04-09,0.75,5.0949
2021-04-09,1.0,5.2789
2021-04-09,2.0,5.9321
2021-04-09,3.0,6.427
2021-04-09,5.0,7.0038
2021-04-09,7.0,7.28
2021-04-09,10.0,7.4612
2021-04-09,15.0,7.5901
2021-04-09,20.0,7.6604
2021-04-12,0.25,4.8248
2021-04-12,0.5,4.9703
2021-04-12,0.75,5.1363
2021-04-12,1.0,5.3059
2021-04-12,2.0,5.9251
2021-04-12,3.0,6.3967
2021-04-12,5.0,6.9581
2021-04-12,7.0,7.2325
2021-04-12,10.0,7.4154
2021-04-12,15.0,7.5474
2021-04-12,20.0,7.6147
2021-04-13,0.25,4.8173
2021-04-13,0.5,4.9446
2021-04-13,0.75,5.0935
2021-04-13,1.0,5.2507
2021-04-13,2.0,5.8607
2021-04-13,3.0,6.3588
2021-04-13,5.0,6.9565
2021-04-13,7.0,7.2343
2021-04-13,10.0,7.3981
2021-04-13,15.0,7.5085
2021-04-13,20.0,7.5777
2021-04-14,0.25,4.8015
2021-04-14,0.5,4.9103
2021-04-14,0.75,5.0476
2021-04-14,1.0,5.1977
2021-04-14,2.0,5.7793
2021-04-14,3.0,6.2246
2021-04-14,5.0,6.769
2021-04-14,7.0,7.0443
2021-04-14,10.0,7.2305
2021-04-14,15.0,7.3553
2021-04-14,20.0,7.4201
2021-04-15,0.25,4.9332
2021-04-15,0.5,5.0021
2021-04-15,0.75,5.1051
2021-04-15,1.0,5.2269
2021-04-15,2.0,5.7545
2021-04-15,3.0,6.2123
2021-04-15,5.0,6.8099
2021-04-15,7.0,7.1055
2021-04-15,10.0,7.274
2021-04-15,15.0,7.3836
2021-04-15,20.0,7.4483
2021-04-16,0.25,4.8525
2021-04-16,0.5,4.9219
2021-04-16,0.75,5.0237
2021-04-16,1.0,5.1431
2021-04-16,2.0,5.6577
2021-04-16,3.0,6.1055
2021-04-16,5.0,6.6969
2021-04-16,7.0,6.9985
2021-04-16,10.0,7.1856
2021-04-16,15.0,7.3127
2021-04-16,20.0,7.3826
2021-04-19,0.25,4.874
2021-04-19,0.5,4.9528
2021-04-19,0.75,5.0577
2021-04-19,1.0,5.1768
2021-04-19,2.0,5.6889
2021-04-19,3.0,6.152
2021-04-19,5.0,6.7688
2021-04-19,7.0,7.0788
2021-04-19,10.0,7.2624
2021-04-19,15.0,7.3858
2021-04-19,20.0,7.4567
2021-04-20,0.25,4.9294
2021-04-20,0.5,4.9936
2021-04-20,0.75,5.0905
2021-04-20,1.0,5.2063
2021-04-20,2.0,5.7213
2021-04-20,3.0,6.1874
2021-04-20,5.0,6.8111
2021-04-20,7.0,7.1156
2021-04-20,10.0,7.2706
2021-04-20,15.0,7.3647
2021-04-20,20.0,7.4271
2021-04-21,0.25,4.9517
2021-04-21,0.5,5.001
2021-04-21,0.75,5.0853
2021-04-21,1.0,5.1908
2021-04-21,2.0,5.6824
2021-04-21,3.0,6.1384
2021-04-21,5.0,6.7482
